               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 117,            0.022955,           0.0055525,          0.00074954,             0.97846,             0.99045,             0.99012,             0.68333,            0.023966,           0.0037708,          0.00047945,            0.002344,            0.002344,            0.002344
                 118,            0.022518,           0.0056858,          0.00054266,             0.97955,             0.99145,             0.99017,                0.68,            0.024027,           0.0038143,          0.00055229,            0.002278,            0.002278,            0.002278
                 119,            0.022433,           0.0055161,          0.00065472,             0.98108,             0.98477,             0.98899,             0.68285,            0.023864,           0.0037661,          0.00048823,            0.002212,            0.002212,            0.002212
                 120,            0.022474,            0.005524,          0.00071392,             0.98197,             0.98587,             0.99011,             0.68448,            0.023883,           0.0037424,          0.00043397,            0.002146,            0.002146,            0.002146
                 121,            0.021983,            0.005506,          0.00055687,             0.97944,             0.99007,             0.99009,             0.68735,            0.023429,           0.0037135,           0.0004459,             0.00208,             0.00208,             0.00208
                 122,            0.022216,           0.0054997,          0.00063798,             0.98072,             0.98345,             0.98821,             0.67943,            0.024049,           0.0037727,           0.0004231,            0.002014,            0.002014,            0.002014
                 123,            0.022123,           0.0055269,          0.00063553,             0.98057,             0.98748,              0.9903,             0.68115,            0.023919,           0.0037477,          0.00045158,            0.001948,            0.001948,            0.001948
                 124,            0.022387,           0.0053989,          0.00050624,             0.97803,             0.98804,              0.9884,             0.68232,            0.023817,            0.003723,          0.00039643,            0.001882,            0.001882,            0.001882
                 125,            0.022224,           0.0053356,          0.00051739,             0.98293,             0.98688,             0.99025,             0.68143,            0.023744,           0.0037266,          0.00040354,            0.001816,            0.001816,            0.001816
                 126,            0.022437,             0.00534,          0.00072638,             0.98665,             0.98202,             0.98985,             0.68388,            0.023694,           0.0037417,          0.00047594,             0.00175,             0.00175,             0.00175
                 127,            0.021901,           0.0056486,          0.00067985,             0.98123,             0.98322,             0.99009,             0.68476,            0.023853,           0.0037581,          0.00051499,            0.001684,            0.001684,            0.001684
                 128,            0.021995,           0.0053451,          0.00052254,             0.98037,             0.98628,             0.99031,             0.68496,            0.023798,           0.0037621,          0.00046538,            0.001618,            0.001618,            0.001618
                 129,            0.021931,           0.0054149,          0.00070063,             0.98406,             0.98347,             0.98974,             0.68298,            0.023773,            0.003743,          0.00047304,            0.001552,            0.001552,            0.001552
                 130,            0.021942,           0.0057157,          0.00057176,             0.97716,             0.98919,             0.98938,             0.68494,            0.023864,           0.0037428,          0.00044881,            0.001486,            0.001486,            0.001486
                 131,            0.021573,           0.0054292,          0.00070997,              0.9838,             0.99008,             0.98977,              0.6846,            0.023632,           0.0037403,          0.00043352,             0.00142,             0.00142,             0.00142
                 132,            0.021445,           0.0054095,          0.00057677,             0.98043,             0.98653,             0.99119,             0.68538,            0.023732,           0.0037344,          0.00043161,            0.001354,            0.001354,            0.001354
                 133,            0.021467,            0.005521,           0.0005817,             0.97889,             0.98726,             0.98928,             0.68594,            0.023546,           0.0037516,          0.00042362,            0.001288,            0.001288,            0.001288
                 134,            0.021623,           0.0052458,          0.00059314,             0.98378,             0.98605,             0.98904,              0.6868,            0.023668,           0.0037133,          0.00040534,            0.001222,            0.001222,            0.001222
                 135,            0.021624,           0.0055546,          0.00038547,             0.98521,             0.98388,              0.9896,             0.68356,            0.023584,           0.0037164,           0.0004009,            0.001156,            0.001156,            0.001156
                 136,             0.02116,           0.0053574,           0.0004349,             0.98351,             0.99149,             0.99068,             0.68822,            0.023461,           0.0037346,           0.0003885,             0.00109,             0.00109,             0.00109
                 137,            0.021482,           0.0053626,          0.00041464,             0.98749,             0.98776,             0.99022,             0.68599,            0.023619,            0.003721,          0.00038348,            0.001024,            0.001024,            0.001024
                 138,            0.020917,           0.0054696,          0.00059204,             0.98275,             0.99034,             0.99073,             0.68659,            0.023541,           0.0037042,          0.00039409,            0.000958,            0.000958,            0.000958
                 139,            0.021401,            0.005242,          0.00039659,             0.98095,             0.99124,             0.99002,             0.68726,            0.023532,           0.0037067,          0.00040254,            0.000892,            0.000892,            0.000892
                 140,            0.020971,           0.0052875,          0.00050213,             0.98645,             0.98819,             0.99013,             0.68921,            0.023634,           0.0037174,          0.00036785,            0.000826,            0.000826,            0.000826
                 141,            0.020686,           0.0052014,          0.00067387,             0.98768,              0.9873,             0.99008,             0.68662,            0.023518,           0.0037036,          0.00036845,             0.00076,             0.00076,             0.00076
                 142,            0.021086,           0.0051376,          0.00065398,             0.98184,             0.98928,             0.99007,             0.68797,            0.023444,           0.0037092,          0.00040074,            0.000694,            0.000694,            0.000694
                 143,            0.020539,           0.0053287,          0.00054469,             0.98238,             0.98394,             0.98825,             0.68981,            0.023479,           0.0037215,          0.00038749,            0.000628,            0.000628,            0.000628
                 144,            0.020481,           0.0051626,          0.00046882,             0.98435,             0.98363,             0.98842,             0.68744,            0.023495,           0.0037226,          0.00039353,            0.000562,            0.000562,            0.000562
                 145,            0.020532,           0.0051566,          0.00033676,             0.98747,             0.98749,             0.99027,             0.68889,            0.023507,           0.0037258,          0.00038802,            0.000496,            0.000496,            0.000496
                 146,            0.020647,           0.0052267,          0.00052434,             0.98639,             0.98803,             0.99041,             0.68919,            0.023308,           0.0037052,          0.00037525,             0.00043,             0.00043,             0.00043
                 147,            0.020538,           0.0053551,          0.00046284,             0.98168,             0.98838,             0.99011,             0.69187,             0.02345,           0.0037065,          0.00037602,            0.000364,            0.000364,            0.000364
                 148,            0.020626,           0.0052301,          0.00056299,             0.98384,             0.98894,             0.99025,             0.69249,            0.023433,           0.0037004,          0.00038886,            0.000298,            0.000298,            0.000298
                 149,            0.020413,           0.0053073,          0.00045178,             0.98558,             0.98893,             0.99038,             0.69373,            0.023258,           0.0037004,          0.00039624,            0.000232,            0.000232,            0.000232
